job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.3564,0.0002,0.3566,0.0642,0.9994391475042065,0.0005608524957936064,19.8131,0.0998,0.0,0.0,0.0,19.813100000000002,0.09979999999999999,19.9129,19.9161
1,0.9588,0.0147,0.9735,0.1752,0.984899845916795,0.01510015408320493,52.2722,9.6318,0.0,0.0,0.0,52.272200000000005,9.631800000000002,61.90400000000001,63.9068
2,0.7872,0.0171,0.8043,0.1448,0.9787392763894069,0.02126072361059306,46.3762,11.4668,0.0,0.0,0.0,46.376200000000004,11.4668,57.843,59.8476
3,1.6208,0.0148,1.6356,0.2944,0.9909513328442162,0.009048667155783811,91.9169,8.9033,0.0,0.0,0.0,91.91690000000001,8.9033,100.82020000000001,102.8158
4,0.4468,0.0,0.4468,0.0804,1.0,0.0,23.9539,0.0246,0.0,0.0,0.0,23.953899999999994,0.0246,23.978499999999993,23.9788
5,1.4843,0.0013,1.4856,0.2674,0.9991249326871298,0.0008750673128702207,78.2577,0.8375,0.0,0.0,0.0,78.2577,0.8375000000000001,79.0952,79.592
6,5.482,0.0322,5.5142,0.9926,0.9941605309927098,0.005839469007290269,291.6272,20.5784,0.0,0.0,0.0,291.6272,20.5784,312.2056,320.7102
7,0.6659,0.0001,0.666,0.1199,0.9998498498498498,0.00015015015015015014,37.115,0.0394,0.0,0.0,0.0,37.115,0.03939999999999999,37.1544,37.1532
8,0.3282,0.0002,0.3284,0.0591,0.9993909866017051,0.0006090133982947625,18.1289,0.1033,0.0,0.0,0.0,18.128899999999994,0.1033,18.232199999999995,18.2282
9,0.3712,0.0002,0.3714,0.0669,0.9994614970382336,0.0005385029617662897,19.902,0.1501,0.0,0.0,0.0,19.902000000000005,0.15009999999999998,20.052100000000003,20.0517
10,2.6168,0.0025,2.6193,0.4715,0.9990455465200626,0.0009544534799373879,144.5321,1.5198,0.0,0.0,0.0,144.53209999999999,1.5197999999999998,146.0519,150.0496
11,12.1636,0.0125,12.176,2.1917,0.9989816031537451,0.0010266097240473062,660.7902,7.8072,0.0,0.0,0.0,660.7902000000001,7.8072,668.5974000000001,680.0966
12,0.7424,0.0016,0.7441,0.1339,0.9977153608385969,0.0021502486224969763,38.7274,1.0493,0.0,0.0,0.0,38.727399999999996,1.0493000000000001,39.7767,40.2814
13,6.2224,0.0051,6.2275,1.1209,0.9991810517864312,0.0008189482135688479,331.7088,3.3911,0.0,0.0,0.0,331.70879999999994,3.3911,335.09989999999993,339.095
14,3.4798,0.0059,3.4858,0.6274,0.9982787308508808,0.001692581329967296,183.6611,3.8461,0.0,0.0,0.0,183.66110000000006,3.8461,187.50720000000007,191.5024
15,2.2663,0.0028,2.2691,0.4084,0.9987660305848135,0.001233969415186638,123.7979,1.8119,0.0,0.0,0.0,123.79789999999998,1.8119,125.60979999999998,132.6126
16,0.4807,0.0002,0.4809,0.0866,0.9995841131212311,0.0004158868787689749,27.4174,0.1001,0.0,0.0,0.0,27.417399999999997,0.10010000000000001,27.5175,27.5152
17,1.6587,0.0018,1.6605,0.2989,0.9989159891598915,0.001084010840108401,93.4098,1.1473,0.0,0.0,0.0,93.40980000000002,1.1473,94.55710000000002,95.5555
18,1.3268,0.0019,1.3287,0.2392,0.9985700308572288,0.0014299691427711297,74.7529,1.2632,0.0,0.0,0.0,74.75290000000001,1.2631999999999999,76.01610000000001,78.0186
19,9.7608,0.0052,9.766,1.7579,0.9994675404464468,0.0005324595535531435,539.7197,3.0895,0.0,0.0,0.0,539.7197,3.0894999999999997,542.8092,556.8068
20,0.6587,0.0007,0.6594,0.1187,0.9989384288747346,0.0010615711252653928,35.8057,0.4658,0.0,0.0,0.0,35.805699999999995,0.4658,36.271499999999996,36.2696
21,6.505,0.0086,6.5136,1.1724,0.9986796855809383,0.0013203144190616556,356.1156,5.6763,0.0,0.0,0.0,356.11560000000003,5.6763,361.79190000000006,372.7945
22,0.2015,0.0001,0.2016,0.0363,0.9995039682539683,0.000496031746031746,11.4544,0.072,0.0,0.0,0.0,11.454400000000003,0.072,11.526400000000002,11.529
23,0.4447,0.0,0.4448,0.0801,0.9997751798561151,0.0,24.1153,0.0243,0.0,0.0,0.0,24.1153,0.024300000000000002,24.1396,24.1382
24,0.2948,0.0,0.2949,0.0531,0.9996609020006783,0.0,16.5108,0.0121,0.0,0.0,0.0,16.510800000000003,0.0121,16.522900000000003,16.5219
25,0.2504,0.0001,0.2505,0.0451,0.9996007984031936,0.00039920159680638726,14.1293,0.0528,0.0,0.0,0.0,14.129300000000002,0.05280000000000001,14.182100000000002,14.1847
26,0.5922,0.0003,0.5925,0.1067,0.9994936708860758,0.0005063291139240506,31.129,0.1994,0.0,0.0,0.0,31.128999999999994,0.1994,31.328399999999995,31.3256
27,10.2033,0.0086,10.2118,1.8381,0.9991676296049669,0.0008421629879159404,558.2087,5.6513,0.0,0.0,0.0,558.2087,5.651300000000001,563.86,578.8619
28,13.4494,0.0307,13.4801,2.4264,0.9977225688236735,0.002277431176326585,717.9018,18.1895,0.0,0.0,0.0,717.9018000000001,18.1895,736.0913,753.5886
29,0.3427,0.0,0.3427,0.0617,1.0,0.0,19.5112,0.0242,0.0,0.0,0.0,19.511200000000002,0.0242,19.535400000000003,19.5337
30,9.4512,0.016,9.4672,1.7041,0.9983099543687679,0.0016900456312320432,534.2509,10.3999,0.0,0.0,0.0,534.2509,10.399900000000002,544.6508,561.6547
31,9.5455,0.0058,9.5512,1.7192,0.9994032163497781,0.0006072535388223469,521.7901,3.6174,0.0,0.0,0.0,521.7900999999999,3.6174000000000004,525.4074999999999,538.404
32,1.6258,0.0015,1.6273,0.2929,0.9990782277391999,0.0009217722608000984,91.0909,1.0113,0.0,0.0,0.0,91.0909,1.0113,92.10220000000001,92.5988
33,0.5206,0.0003,0.5208,0.0938,0.9996159754224269,0.0005760368663594469,27.4099,0.1572,0.0,0.0,0.0,27.409899999999993,0.1572,27.567099999999993,27.5651
34,5.4567,0.0028,5.4596,0.9827,0.9994688255549856,0.0005128580848413803,293.7907,1.7485,0.0,0.0,0.0,293.7907,1.7485,295.5392,299.5417
35,25.3903,0.0091,25.3994,4.5719,0.9996417238202477,0.0003582761797522776,1340.5128,6.0296,0.0,0.0,0.0,1340.5127999999997,6.0295999999999985,1346.5423999999998,1376.0474
36,0.5407,0.0,0.5407,0.0973,1.0,0.0,27.8059,0.0315,0.0,0.0,0.0,27.805899999999994,0.0315,27.837399999999995,27.8385
37,0.2485,0.0001,0.2486,0.0447,0.999597747385358,0.0004022526146419952,13.4545,0.0631,0.0,0.0,0.0,13.454500000000003,0.06309999999999999,13.517600000000003,13.5158
38,2.2186,0.003,2.2215,0.3999,0.9986945757371146,0.0013504388926401081,116.9031,1.9538,0.0,0.0,0.0,116.90310000000001,1.9538,118.85690000000001,121.3596
39,0.4947,0.0,0.4947,0.089,1.0,0.0,27.1716,0.0142,0.0,0.0,0.0,27.1716,0.0142,27.1858,27.1903
40,1.8633,0.0014,1.8647,0.3356,0.9992492089880409,0.0007507910119590283,97.798,0.851,0.0,0.0,0.0,97.79799999999999,0.851,98.64899999999999,103.1519
41,4.764,0.0282,4.7923,0.8626,0.9940946935709367,0.005884439621893454,262.1878,17.7921,0.0,0.0,0.0,262.18780000000004,17.792099999999998,279.97990000000004,320.9802
42,1.2267,0.0007,1.2274,0.2209,0.999429688773016,0.0005703112269838683,67.5966,0.4607,0.0,0.0,0.0,67.5966,0.46070000000000005,68.0573,70.5543
43,0.3862,0.0003,0.3864,0.0696,0.9994824016563146,0.0007763975155279501,21.025,0.166,0.0,0.0,0.0,21.024999999999995,0.166,21.190999999999995,21.1888
44,0.2603,0.0002,0.2604,0.0469,0.9996159754224269,0.0007680491551459293,14.688,0.1059,0.0,0.0,0.0,14.687999999999999,0.10589999999999998,14.793899999999999,14.7966
45,0.2284,0.0001,0.2285,0.0411,0.999562363238512,0.000437636761487965,12.2509,0.0898,0.0,0.0,0.0,12.250900000000005,0.0898,12.340700000000005,12.3444
46,6.7691,0.017,6.7861,1.2215,0.9974948792384433,0.002505120761556712,376.0039,10.9355,0.0,0.0,0.0,376.0039,10.9355,386.9394,396.9356
47,13.2681,0.0106,13.2787,2.3902,0.9992017290849254,0.0007982709150745178,725.1878,7.0892,0.0,0.0,0.0,725.1878,7.089199999999999,732.277,743.7772
48,0.355,0.0001,0.3551,0.0639,0.9997183891861446,0.000281610813855252,20.9216,0.0828,0.0,0.0,0.0,20.921599999999994,0.0828,21.004399999999993,21.0035
49,18.6329,0.0136,18.6465,3.3564,0.999270640602794,0.0007293593972059099,1074.533,8.1884,0.0,0.0,0.0,1074.5330000000001,8.1884,1082.7214000000001,1104.2241
50,0.7751,0.0005,0.7756,0.1396,0.9993553378029914,0.0006446621970087674,41.2193,0.3257,0.0,0.0,0.0,41.2193,0.32569999999999993,41.544999999999995,41.549
51,0.367,0.0001,0.3671,0.0661,0.9997275946608554,0.00027240533914464724,20.2194,0.0445,0.0,0.0,0.0,20.2194,0.0445,20.2639,20.2615
52,0.5425,0.0,0.5425,0.0977,1.0,0.0,29.7199,0.0218,0.0,0.0,0.0,29.719899999999992,0.021799999999999996,29.74169999999999,29.743
53,4.5654,0.008,4.5733,0.8232,0.9982725821616777,0.001749283886908797,262.4387,4.9928,0.0,0.0,0.0,262.43870000000004,4.992800000000001,267.4315,277.9355
54,0.6402,0.0,0.6402,0.1152,1.0,0.0,36.8234,0.0204,0.0,0.0,0.0,36.8234,0.0204,36.8438,36.8479
55,1.4399,0.0037,1.4436,0.2598,0.9974369631476863,0.0025630368523136605,81.5453,2.4206,0.0,0.0,0.0,81.54529999999998,2.4206,83.96589999999998,92.4662
56,2.827,0.0053,2.8323,0.5098,0.9981287293012746,0.0018712706987254176,153.906,3.358,0.0,0.0,0.0,153.90599999999998,3.358,157.26399999999998,168.2594
57,0.6697,0.0003,0.67,0.1206,0.99955223880597,0.0004477611940298507,39.532,0.1742,0.0,0.0,0.0,39.532,0.17419999999999997,39.706199999999995,40.2049
58,2.7026,0.0047,2.7073,0.4873,0.9982639530159199,0.0017360469840800798,149.511,3.0504,0.0,0.0,0.0,149.511,3.0504000000000002,152.5614,159.5602
59,3.0419,0.0326,3.0744,0.5534,0.9894288316419465,0.010603695029924538,170.4387,20.6488,0.0,0.0,0.0,170.4387,20.648799999999998,191.0875,202.0848
